Month,Nation_Current_Month,Nation_YOY,Nation_Comparative_Rate,Nation_Total,City_Current_Month,City_YOY,City_Comparative_Rate,City_Total,Country_Current_Month,Country_YOY,Country_Comparative_Rate,Country_Total
2020年01月份,105.4,5.40%,1.40%,105.4,105.1,5.10%,1.40%,105.1,106.3,6.30%,1.40%,106.3
2019年12月份,104.5,4.50%,0.00%,102.9,104.2,4.20%,0.00%,102.8,105.3,5.30%,-0.10%,103.2
2019年11月份,104.5,4.50%,0.40%,102.8,104.2,4.20%,0.30%,102.7,105.5,5.50%,0.50%,103
2019年10月份,103.8,3.80%,0.90%,102.6,103.5,3.50%,0.80%,102.5,104.6,4.60%,1.20%,102.8
2019年09月份,103,3.00%,0.90%,102.5,102.8,2.80%,0.70%,102.4,103.6,3.60%,1.30%,102.6
2019年08月份,102.8,2.80%,0.70%,102.4,102.8,2.80%,0.60%,102.4,103.1,3.10%,1.00%,102.4
2019年07月份,102.8,2.80%,0.40%,102.3,102.7,2.70%,0.40%,102.3,102.9,2.90%,0.30%,102.3
2019年06月份,102.7,2.70%,-0.10%,102.2,102.7,2.70%,-0.10%,102.2,102.7,2.70%,-0.20%,102.2
2019年05月份,102.7,2.70%,0.00%,102.2,102.7,2.70%,0.00%,102.2,102.8,2.80%,0.10%,102.2
2019年04月份,102.5,2.50%,0.10%,102,102.5,2.50%,0.10%,102,102.6,2.60%,0.10%,102
2019年03月份,102.3,2.30%,-0.40%,101.8,102.3,2.30%,-0.40%,101.9,102.3,2.30%,-0.30%,101.8
2019年02月份,101.5,1.50%,1.00%,101.6,101.5,1.50%,1.00%,101.6,101.4,1.40%,0.90%,101.5
2019年01月份,101.7,1.70%,0.50%,101.7,101.8,1.80%,0.50%,101.8,101.7,1.70%,0.40%,101.7
2018年12月份,101.9,1.90%,0.00%,102.1,101.9,1.90%,0.00%,102.1,101.9,1.90%,0.00%,102.1
2018年11月份,102.2,2.20%,-0.30%,102.1,102.2,2.20%,-0.40%,102.1,102.2,2.20%,-0.30%,102.1
2018年10月份,102.5,2.50%,0.20%,102.1,102.5,2.50%,0.20%,102.1,102.6,2.60%,0.20%,102.1
2018年09月份,102.5,2.50%,0.70%,102.1,102.4,2.40%,0.70%,102.1,102.5,2.50%,0.80%,102
2018年08月份,102.3,2.30%,0.70%,102,102.3,2.30%,0.60%,102,102.3,2.30%,0.80%,102
2018年07月份,102.1,2.10%,0.30%,102,102.1,2.10%,0.40%,102,102,2.00%,0.10%,101.9
2018年06月份,101.9,1.90%,-0.10%,102,101.8,1.80%,0.00%,102,101.9,1.90%,-0.10%,101.9
2018年05月份,101.8,1.80%,-0.20%,102,101.8,1.80%,-0.20%,102,101.7,1.70%,-0.10%,101.9
2018年04月份,101.8,1.80%,-0.20%,102.1,101.8,1.80%,-0.20%,102.1,101.7,1.70%,-0.30%,101.9
2018年03月份,102.1,2.10%,-1.10%,102.1,102.1,2.10%,-1.10%,102.2,101.9,1.90%,-1.20%,102
2018年02月份,102.9,2.90%,1.20%,102.2,103,3.00%,1.30%,102.2,102.7,2.70%,1.10%,102.1
2018年01月份,101.5,1.50%,0.60%,101.5,101.5,1.50%,0.60%,101.5,101.5,1.50%,0.60%,101.5
2017年12月份,101.8,1.80%,0.30%,101.6,101.9,1.90%,0.30%,101.7,101.7,1.70%,0.40%,101.3
2017年11月份,101.7,1.70%,0.00%,101.5,101.8,1.80%,0.00%,101.6,101.5,1.50%,0.00%,101.2
2017年10月份,101.9,1.90%,0.10%,101.5,101.9,1.90%,0.10%,101.6,101.7,1.70%,0.20%,101.2
2017年09月份,101.6,1.60%,0.50%,101.5,101.7,1.70%,0.50%,101.6,101.4,1.40%,0.60%,101.1
2017年08月份,101.8,1.80%,0.40%,101.5,101.9,1.90%,0.40%,101.6,101.5,1.50%,0.50%,101.1
2017年07月份,101.4,1.40%,0.10%,101.4,101.5,1.50%,0.10%,101.5,101,1.00%,0.00%,101
2017年06月份,101.5,1.50%,-0.20%,101.4,101.7,1.70%,-0.10%,101.5,101,1.00%,-0.20%,101
2017年05月份,101.5,1.50%,-0.10%,101.4,101.7,1.70%,-0.10%,101.5,101.1,1.10%,-0.10%,101.1
2017年04月份,101.2,1.20%,0.10%,101.4,101.3,1.30%,0.10%,101.5,100.8,0.80%,0.00%,101.1
2017年03月份,100.9,0.90%,-0.30%,101.4,101,1.00%,-0.30%,101.5,100.6,0.60%,-0.40%,101.1
2017年02月份,100.8,0.80%,-0.20%,101.7,100.9,0.90%,-0.20%,101.8,100.6,0.60%,-0.10%,101.4
2017年01月份,102.5,2.50%,1.00%,102.5,102.6,2.60%,1.00%,102.6,102.2,2.20%,0.90%,102.2
2016年12月份,102.1,2.10%,0.20%,102,102.1,2.10%,0.20%,102.1,101.9,1.90%,0.30%,101.9
2016年11月份,102.3,2.30%,0.10%,102,102.3,2.30%,0.10%,102,102,2.00%,0.20%,101.9
2016年10月份,102.1,2.10%,-0.10%,102,102.2,2.20%,-0.10%,102,101.8,1.80%,-0.10%,101.8
2016年09月份,101.9,1.90%,0.70%,102,102,2.00%,0.70%,102,101.6,1.60%,0.70%,101.8
2016年08月份,101.3,1.30%,0.10%,102,101.4,1.40%,0.10%,102,101,1.00%,0.10%,101.9
2016年07月份,101.8,1.80%,0.20%,102.1,101.8,1.80%,0.30%,102.1,101.5,1.50%,0.00%,102
